University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
Alabama A & M University,Normal,AL,www.aamu.edu/,7807,Public,25113,35.02866346,1281,4775,95.50408769,7.75078517
University of Alabama at Birmingham,Birmingham,AL,https://www.uab.edu/,33126,Private,28014,89.92653123,846,1910,54.74650541,1.956791256
Amridge University,Montgomery,AL,https://www.amridgeuniversity.edu/,46163,Private,3150,59.116469,1216,2215,84.5735185,2.946628578
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu/,23818,Private,32040,54.44248501,1524,5017,89.42169349,12.62638767
Alabama State University,Montgomery,AL,www.alasu.edu/,24550,Public,20749,12.64790722,1493,5406,75.58939675,4.87608118
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,8267,Private,2343,28.03997725,983,5235,63.63573348,22.00968066
Central Alabama Community College,Alexander City,AL,www.cacc.edu/,19608,Public,5794,59.3826833,1135,2666,92.61490802,7.752664486
Athens State University,Athens,AL,www.athens.edu/,22288,Private,22382,63.17901957,1148,3815,81.65911075,15.99131849
Auburn University at Montgomery,Montgomery,AL,www.aum.edu/,15281,Private,13374,62.30112224,850,2585,93.6571639,17.56814694
Auburn University,Auburn,AL,www.auburn.edu/,11969,Private,31715,39.7014712,1414,3445,81.14071709,9.004674357
Birmingham-Southern College,Birmingham,AL,www.bsc.edu/,40428,Public,38035,90.00386863,903,4948,53.61279108,16.28035143
Chattahoochee Valley Community College,Phenix City,AL,https://www.cv.edu/,29074,Private,11322,22.52932005,913,5863,92.92789046,21.2449782
South University-Montgomery,Montgomery,AL,www.southuniversity.edu/,34246,Public,28465,44.37110192,1358,4395,94.29863271,16.18962944
Enterprise State Community College,Enterprise,AL,www.escc.edu/,27866,Private,28992,65.47632879,1381,835,64.02670006,9.792620339
Coastal Alabama Community College,Bay Minette,AL,www.coastalalabama.edu/,6782,Public,14472,54.5900655,1142,2001,52.63385385,1.214210747
Faulkner University,Montgomery,AL,www.faulkner.edu/,10322,Private,20789,93.00889643,1541,1277,79.64012083,24.86696139
Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu/,9456,Public,11179,74.24410655,853,5452,54.71053006,7.930022228
